1,15131
2,8262
3,7287
4,6579
5,5040
6,5006
7,4227
8,3330
9,2996
10,2838
11,2795
12,2562
13,2530
14,2134
15,2128
16,2084
17,1964
18,1785
19,1525
20,1462
21,1340
22,1305
23,1291
24,1208
25,1198
26,1190
27,1103
28,1053
29,1039
30,1000
31,976
32,947
33,914
34,899
35,897
36,838
37,830
38,814
39,793
40,742
41,731
42,720
43,719
44,702
45,699
46,691
47,678
48,672
49,659
50,618
51,603
52,579
53,571
54,564
55,555
56,552
57,542
58,525
59,521
60,511
61,496
62,493
63,492
64,474
65,473
66,454
67,452
68,451
69,443
70,442
71,441
72,435
73,428
74,403
75,391
76,385
77,380
78,370
79,362
80,359
81,357
82,334
83,334
84,330
85,329
86,328
87,321
88,317
89,317
90,316
91,312
92,308
93,305
94,303
95,298
96,296
97,295
98,293
99,291
100,290
101,289
102,278
103,278
104,277
105,274
106,271
107,265
108,256
109,255
110,255
111,253
112,252
113,250
114,249
115,247
116,245
117,242
118,241
119,239
120,236
121,236
122,235
123,231
124,230
125,228
126,227
127,223
128,222
129,222
130,220
131,220
132,219
133,218
134,216
135,211
136,207
137,207
138,205
139,204
140,203
141,200
142,200
143,199
144,198
145,197
146,196
147,195
148,192
149,192
150,187
151,186
152,184
153,182
154,182
155,182
156,182
157,178
158,177
159,177
160,176
161,176
162,176
163,176
164,175
165,174
166,174
167,174
168,173
169,171
170,171
171,169
172,167
173,167
174,165
175,165
176,164
177,163
178,163
179,161
180,160
181,158
182,155
183,155
184,154
185,153
186,153
187,152
188,149
189,149
190,146
191,146
192,146
193,144
194,143
195,142
196,142
197,141
198,141
199,141
200,141
201,140
202,139
203,137
204,137
205,136
206,135
207,135
208,134
209,134
210,134
211,133
212,133
213,133
214,132
215,131
216,129
217,129
218,127
219,127
220,127
221,127
222,127
223,127
224,127
225,126
226,125
227,125
228,124
229,124
230,123
231,122
232,122
233,122
234,122
235,121
236,121
237,120
238,119
239,118
240,118
241,117
242,117
243,117
244,116
245,116
246,116
247,116
248,116
249,115
250,115
251,115
252,114
253,114
254,114
255,114
256,113
257,112
258,111
259,110
